A,人类生活必需
B,作业； 运输
C,化学；冶金
D,纺织；造纸
E,固定结构
F,机械工程；照明；加热；武器；爆破
G,物理
H,电学
Y,新技术发展的通用标签；涉及IPC多个部的代表性技术的通用标签；包含在美国专利分类的交叉参考技术文献小类 [XRACs]和暂时性分类标记的科技主题
